"Comp-FITC_Alexa 488-A :: CD56","Comp-PE-A :: CD11c","Comp-PE-Cy55-A :: CD3","Comp-PE-Cy7-A :: CD45RO","Comp-APC_Ax 647-A :: 2H2","Comp-APC-Ax700-A :: CD4","Comp-APC-H7-A :: CD8","EventNumberDP"
239.201,121.43,10620,13307.8,-542.83,12559.8,-769.577,697
75.4875,201.095,11805.5,1064.37,76.879,23284,-1125.89,698
236.451,71.8654,13928.3,4874.52,-91.1182,19482.5,-41.0789,703
1654.86,34.2533,103.475,-18.8051,202.088,38.3945,18.2483,709
174.744,98.2266,14709.7,-65.8002,168.408,15621.1,211.273,715
125.208,120.368,5856.21,-31.5881,322.504,17748.7,-486.795,721
244.261,177.381,19256.3,1944.08,-11.8567,14954.1,-1289.08,727
311.782,133.928,7847.19,14158.7,-524.403,29449.7,139.827,728
177.456,81.9929,7235.12,240.552,263.708,13033.8,113.093,740
171.181,176.766,13630.6,50.1282,260.854,14648.4,762.501,745
132.16,-59.8117,291.743,61.6057,349.754,-46.0549,427.764,746
145.791,91.7822,15030.8,375.137,192.433,21353.4,-711.092,751
122.833,208.287,8796.7,589.041,859.047,17280.5,-316.442,757
288.486,57.5714,6158.32,1359.31,634.991,12801.7,7.31853,758
206.476,133.533,13060.6,-390.508,559.073,15659.9,66.65,763
140.148,159.124,9710.84,32.1847,-177.462,19420.2,439.095,764
403.065,288.853,9807.04,11876.1,310.109,27478.8,-748.043,769
81.452,103.799,10393.6,630.181,13.07,12789,-772.448,770
129.376,255.485,6909.49,9991.56,-640.031,23225.1,-44.4389,775
264.756,159.164,7333.25,-206.503,-920.845,1479.35,23947.1,776
394.734,54.1308,401.879,514.807,511.217,19960.4,188.467,782
206.13,99.0248,51.5208,35.4577,205.358,829.469,640.388,788
25.2614,21.1398,8406.04,-379.103,301.79,11941.6,-218.173,793
188.325,19.8282,222.3,691.201,219.339,529.763,494.567,800
390.238,171.055,18028.6,13062.2,-1012.31,21352.4,311.462,805
541.133,47.9252,6877.47,7542.62,-371.561,1370.94,-656.653,806
216.99,117.453,391.422,-174.943,377.46,9351.02,30.3623,811
121.508,123.715,6024.67,202.02,342.089,21262.1,-233.581,817
152.432,69.6201,9534.05,1322.05,325.444,15225.9,-80.5644,818
119.951,67.6935,6497.77,125.159,240.523,12624.1,-422.772,823
16327.7,5766.95,421.396,45.123,625.087,898.452,221.291,824
279.781,119.335,2127.23,8565.81,-107.954,13845.2,201.319,829
225.675,41.1067,10693.3,1117.84,-278.829,1733.25,20140.6,830
152.404,28.7902,9877.72,18347.5,-1084.16,17669.6,-38.9298,835
8366.86,1539.97,348.229,50.7828,339.643,791.469,698.275,841
190.157,176.214,9569.94,401.652,292.647,16018.6,-299.865,847
152.68,202.522,6232.13,1208.28,144.86,20337.5,-838.541,848
315.265,208.098,16208,10499.1,-541.133,22725.6,-284.779,853
220.211,80.7277,3556.17,124.947,193.769,860.608,5749.45,854
130.888,131.492,9894.83,3647.45,-157.217,13130.4,-508.302,859
3172.58,5262.41,187.706,171.77,386.223,368.915,798.976,865
168.925,128.709,87.2245,1.4089,398.628,506.703,2.57016,866
46.3383,2.18027,8586.82,-36.021,400.241,16194.2,-727.722,872
276.173,96.0965,7824.86,1327.38,74.0091,10129.6,-286.971,877
272.698,68.9641,11561,9735.99,-36.9344,21987.1,-163.015,878
391.545,294.249,9202.96,9679.66,-452.249,13891.2,-471.926,883
167.509,117.319,8173.73,-166.812,639.121,15280.8,38.7932,884
122.857,92.3812,151.536,15.4296,532.721,253.565,343.56,889
156.707,73.1606,16382.8,136.949,17.1574,21004.3,-84.7008,890
585.884,3257.48,271.035,3193.4,3517.67,3547.04,13.2364,895
426.575,63.3714,11443.4,5231.95,347.687,26361.7,-733.904,901
128.876,109.095,160.133,97.6409,356.417,119.579,542.197,902
323.537,69.6468,328.327,152.429,628.737,31265.7,-249.393,907
373.368,138.646,7783.61,15747,-747.522,22149.9,-648.853,908
155.793,109.313,196.394,69.213,127.455,16454.2,-704.02,913
143.271,187.241,7981.75,10970.4,-784.11,19534.7,10.9707,919
101.9,22.1008,542.808,92.5183,451.026,-233.339,994.843,925
229.206,98.4245,10858.6,-239.87,207.338,-766.695,21579.9,926
442.306,358.607,6153.79,627.229,238.742,2054.88,16592.9,931
146.223,175.263,12543.5,-141.273,354.257,14236.8,277.872,938
164.996,-22.0296,11942.3,378.594,183.956,16275.3,226.247,943
309.318,43.6713,9107.19,1015.91,164.865,901.853,20051.9,944
319.156,169.479,10159,-230.269,560.842,19136,126.583,949
306.297,218.437,15416.4,19048.9,-626.981,24113.3,-1153.67,961
105.544,40.4212,10071.3,8962.58,-265.718,29145.5,-290.595,967
245.896,212.06,209.974,80.3592,339.721,456.727,147.287,968
46.9924,25.4008,6249.16,730.738,-152.127,359.202,13432,973
104.249,30.5637,10718.4,-457.494,-54.5748,14759.9,456.395,979
217.724,25.7402,9958.53,11336.1,-748.899,13756.1,531.885,980
146.781,40.7983,13428.8,1062.69,182.425,18268.4,-29.7228,991
284.505,255.171,186.737,-79.3552,485.918,1077.2,123.266,992
92.2007,47.6214,7167.22,15803.9,-998.218,17293.7,-593.292,997
460.519,200.559,425.846,90.4342,228.395,22514.5,110.722,998
107.574,3.27539,7166.38,73.4906,663.923,8744.62,103.214,1003
1677.6,150.395,146.502,238.539,601.635,-40.8756,300.246,1009
251.154,268.761,10748.7,3114.99,192.927,-364.122,-140.547,1010
2195.32,3900.47,201.092,186.849,434.976,137.322,153.132,1015
137.013,172.893,9165.6,9255.18,-419.265,16865.6,230.655,1016
211.588,93.7429,3532.78,3049.46,-462.62,-691.163,21940.2,1022
171.234,31.0744,16654.7,532.131,-160.993,14845.5,495.956,1028
91.5223,135.586,10690.4,1262.79,325.603,18175.3,-126.987,1033
201.226,89.9953,9755.82,3559.48,86.6821,19623,386.274,1034
197.088,2372,673.557,2111.17,1089.35,816.757,75.1856,1045
3448.25,2478.85,266.461,9446.12,960.878,5287.17,-367.798,1046
198.762,200.444,13775.6,11597,-643.894,401.99,-714.414,1051
134.65,189.275,12626.1,9994.95,-482.109,30753.8,363.586,1057
157.031,9.33824,18286.9,900.268,375.83,13900.5,-255.347,1063
492.158,5506.79,252.8,505.509,649.39,3910.97,449.428,1064
224.745,104.75,8872.02,116.001,533.233,18989.3,-42.372,1069
78.6261,33.8413,12434.9,516.488,123.43,13760.9,-3.46004,1070
109.334,175.286,9988.92,185.585,412.485,16580.9,-373.939,1075
361.402,201.489,445.165,-126.78,755.23,42187.7,547.153,1076
159.355,24.8963,219.053,25.1544,472.418,49.6188,148.049,1081
80.8664,3.16963,5783.69,515.021,556.691,16540.4,-97.3931,1082
135.786,20.4465,10005.6,2011.78,-9.45281,15505.3,-150.512,1087
211.219,108.87,18037.3,-239.801,-146.916,18433.4,-820.952,1093
115.396,87.9125,6818.04,167.547,37.239,11014.5,225.395,1094
95.5095,80.9886,9113.22,-448.419,-81.733,16502.7,-310.698,1100
153.189,79.2132,14163.9,-503.221,264.677,16688.1,146.45,1106
360.764,291.953,14726.9,1768.58,638.829,-1127.17,3.04033,1117
81.2794,15.7325,15925.1,210.206,403.012,12251.7,566.096,1124
523.449,505.052,6664.65,9971.54,-358.882,18607.9,-632.674,1129
154.549,166.583,5163.9,-114.304,-165.281,7100.06,344.909,1130
34.0726,-4.94566,102.188,-191.587,178.094,-496.362,3740.82,1147
127.612,8.20476,79.7408,-48.5774,343.949,235.029,451.08,1148
270.825,88.6761,9274.81,669.703,344.396,14214.1,348.047,1153
136.403,-3.1828,13077.8,378.19,201.642,15045.2,-12.5873,1159
198.473,-9.03938,8181.59,9119.23,-565.543,1654.06,10015.4,1184
191.993,103.203,10865.2,6725.31,268.342,9607.09,23.5163,1201
250.924,628.323,11934.3,9921.01,-41.8507,14310.2,41.1577,1202
213.034,74.7267,19823.8,-214.293,405.508,12336.9,-355.85,1207
85.6488,80.2868,10268.3,-272.63,603.813,12384.8,262.41,1208
245.254,119.027,11766.5,377.072,550.118,-2378.47,21137.9,1219
71.1154,122.053,6244.42,169.553,456.363,9449.43,-391.827,1220
191.162,-3.70594,14458.6,-867.515,-177.385,18595.7,1145.42,1225
487.136,196.64,1175.14,225.054,1124.17,35450.5,193.324,1231
325.434,303.725,11940.5,12263.7,-178.489,22842.5,-417.563,1232
344.967,56621.1,2511.46,5374.94,1324.75,6245.27,-131.894,1237
448.899,173.568,6855.96,18068.3,-1590.05,285.11,2828.96,1255
530.941,2129.33,10799.8,463.606,422.546,2912.77,3284.5,1261
85.0993,-62.4471,3445.83,-463.563,-24.7365,1045.39,9206.19,1262
187.502,172.145,23.1423,92.7186,1286.03,2960.72,416.786,1268
252.645,127.454,7787.92,22658.8,-1301.17,21820.7,-190.185,1285
195.4,95.19,12928.5,-875.258,55.9406,18549.4,45.0777,1291
256.374,55.4133,6893.19,15098.5,-1099.72,1015.12,11446.4,1304
181.648,47.1229,4880.36,525.78,157.838,8997.75,384.522,1322
170.653,-40.5057,34.8446,-29.6898,-45.4122,1020.96,295.338,1328
265.302,925.161,117.144,-103.338,252.285,1174.71,802.705,1333
189.058,306.569,7579.96,1802.75,-188.917,5937.99,-407.86,1334
193.372,261.886,7828.3,338.653,490.245,16786.3,78.8576,1351
324.639,160.024,16494.5,11832,495.675,23528,-474.579,1363
131.04,223.808,12007,2448.87,233.492,13267.5,140.726,1364
416.141,229.729,5725.67,112.017,1805.2,-60.033,14353.1,1376
420.645,216.052,138.316,393.1,1009.11,31852.1,-511.265,1381
152.674,33.0433,7420.5,1238.64,864.627,13121,137.884,1382
157.153,90.3996,10.7465,97.5385,774.831,-511.625,190.882,1387
204.172,76.9853,12018.9,4551.94,667.192,12296.4,-244.857,1388
261.092,-19.1009,7557.79,13101.2,-193.315,21730.1,-1010.03,1393
269.01,221.571,11448,4770.34,-275.446,19840.2,904.552,1394
235.972,93.0269,-1.86222,-123.91,440.125,1413.16,418.866,1399
269.117,-25.2128,5728.97,13062,-995.912,14685.8,-1199.24,1400
157.41,27.3021,17330.7,15.1116,286.339,18618.8,-187.598,1405
